,headers_text,headers_link
0,"Fiscal general de Colombia viajaría a Ecuador con pruebas de un presunto préstamo del ELN ...
vie, 12 feb 2021
Este miércoles 10 de febrero, la Fiscal Geneal del Estado de Ecuador, Diana Salazar Méndez, le solicitó a la Fiscalía ...",https://www.infobae.com/america/colombia/2021/02/12/fiscal-general-de-colombia-viajaria-a-ecuador-con-pruebas-de-un-presunto-prestamo-del-eln-a-campana-de-arauz/
1,"Dos supermercados colombianos estarían vinculados a la deforestación ilegal en la Amazonía
vie, 28 may 2021
Si los consumidores de carne supieran toda la historia que hay detrás del plato que sirven en su mesa, probablemente ...",https://www.infobae.com/america/colombia/2021/05/28/dos-supermercados-colombianos-estarian-vinculados-a-la-deforestacion-ilegal-en-la-amazonia/
2,"De “refrito” calificó Néstor Humberto Martínez las declaraciones de Aida Merlano ante la Corte Suprema ...
mié, 2 mar 2022
En visita a Barranquilla, el exfiscal —y actual columnista del diario EL TIEMPO— Néstor Humberto Martínez hizo referencia por primera ...",https://www.infobae.com/america/colombia/2022/03/02/de-refrito-califico-nestor-humberto-martinez-las-declaraciones-de-aida-merlano-ante-la-corte-suprema-de-justicia/
3,"“A Iván Duque le disgustó que el país se diera cuenta de que Carlos Mattos ...
sáb, 7 may 2022 / By Mateo Medina
Omar Juan Carlos Suárez es el abogado que está defendiendo al empresario de 74 años de edad, hoy recluido en ...",https://www.infobae.com/america/colombia/2022/05/07/a-ivan-duque-le-disgusto-que-el-pais-se-diera-cuenta-de-que-carlos-mattos-aporto-a-su-campana-abogado-omar-juan-carlos-suarez/
4,"El exgobernador de Córdoba Edwin Besaile se declaró inocente por las sindicaciones en el “Cartel ...
vie, 8 jul 2022
El exgobernador de Córdoba, Edwin José Besaile Fayad , uno de los políticos vinculados al denominado Cartel de la Hemofilia ...",https://www.infobae.com/america/colombia/2022/07/08/el-exgobernador-de-cordoba-edwin-besaile-se-declaro-inocente-por-las-sindicaciones-en-el-cartel-de-la-hemofilia/
5,"Senador Iván Cepeda: “Con el actual gobierno y con el Uribismo no tenemos nada de ...
mar, 1 mar 2022 / By Pablo Figueroa
El país está viviendo una época electoral sin precedentes o por lo menos así lo considera el senador Iván Cepeda, ...",https://www.infobae.com/america/colombia/2022/03/01/ivan-cepeda-con-el-actual-gobierno-y-con-el-uribismo-no-tenemos-nada-de-que-hablar/
6,"Corte Suprema pone el ojo sobre Gustavo Bolívar por apoyo financiero a la primera línea
mar, 29 jun 2021
Este martes se conoció que la Corte Suprema aceptó la denuncia que interpusieron los abogados Víctor Mosquera Marín y Bernardo ...",https://www.infobae.com/america/colombia/2021/06/29/corte-suprema-pone-el-ojo-sobre-gustavo-bolivar-por-apoyo-financiero-a-la-primera-linea/
7,"Duros cuestionamientos al fiscal Barbosa por presunta injerencia en elecciones ecuatorianas
mar, 16 feb 2021
No paran las críticas y cuestionamientos al fiscal general de Colombia, Francisco Barbosa, por su visita a Ecuador para reunirse ...",https://www.infobae.com/america/colombia/2021/02/16/duros-cuestionamientos-al-fiscal-barbosa-por-presunta-injerencia-en-elecciones-ecuatorianas/
8,"Bolívar, a responder por apoyo a financiación de primera línea
mié, 9 jun 2021
El senador por el partido Colombia Humana tendrá que responder en los próximos días ante el Ministerio Público por su ...",https://www.infobae.com/america/colombia/2021/06/10/bolivar-a-responder-por-apoyo-a-financiacion-de-primera-linea/
9,"“Es una vergüenza”, Rafael Correa sobre la visita del fiscal Barbosa a Ecuador para llevar ...
sáb, 13 feb 2021
Tras confirmarse la llegada del fiscal general de Colombia, Francisco Barbosa, a Ecuador “tras solicitud oficial recibida por parte de ...",https://www.infobae.com/america/colombia/2021/02/13/es-una-verguenza-rafael-correa-sobre-la-visita-del-fiscal-barbosa-a-ecuador-para-llevar-los-archivos-de-uriel/
10,"Ernesto Samper dice que información sobre supuesto vínculo de Andrés Arauz con el ELN “es ...
sáb, 13 feb 2021
Este sábado 13 de febrero, el expresidente colombiano Ernesto Samper aseveró que es una infamia la información que entregaría el ...",https://www.infobae.com/america/colombia/2021/02/13/ernesto-samper-dice-que-informacion-sobre-supuesto-vinculo-de-andres-arauz-con-el-eln-es-una-infamia/
11,"Gustavo Bolívar rindió cuentas por la Vaki que realizó para apoyar a la Primera Línea
mié, 7 jul 2021
Este miércoles el senador por la Colombia Humana, Gustavo Bolívar, hizo una rendición de cuentas de la Vaki que adelantó ...",https://www.infobae.com/america/colombia/2021/07/07/gustavo-bolivar-rindio-cuentas-por-la-vaki-que-realizo-para-apoyar-a-la-primera-linea/
12,"Piden a José Félix Lafaurie intervenir para detener la expansión de la ganadería en la ...
jue, 4 nov 2021
En medio de la 26ª Conferencia de las Partes de la Convención Marco de las Naciones Unidas sobre Cambio Climático ...",https://www.infobae.com/america/colombia/2021/11/04/piden-a-jose-felix-lafaurie-intervenir-para-detener-la-expansion-de-la-ganaderia-en-la-amazonia/
13,"El Sistema de Monitoreo de Bosques del Ideam, una herramienta para proteger y conservar los ...
mar, 15 jun 2021
El Instituto de Hidrología, Meteorología y Estudios Ambientales (Ideam) impulsa el Sistema de Monitoreo de Bosques y Carbono, una herramienta ...",https://www.infobae.com/america/colombia/2021/06/16/el-sistema-de-monitoreo-de-bosques-del-ideam-una-herramienta-para-proteger-y-conservar-los-ecosistemas-en-colombia/
14,"Corte Suprema cita a Gustavo Bolívar para que explique financiación a jóvenes de la primera ...
mié, 14 jul 2021
La Corte Suprema citó a versión libre al senador Gustavo Bolívar por la financiación que este entregó a jóvenes de ...",https://www.infobae.com/america/colombia/2021/07/14/corte-suprema-cita-a-gustavo-bolivar-para-que-explique-financiacion-a-jovenes-de-la-primera-linea/
15,"Carlos Mattos, su relación con Iván Duque y la condena que nunca esperó
lun, 9 may 2022 / By Mateo Medina
Omar Juan Carlos Suárez es el abogado que está defendiendo al empresario de 74 años de edad, hoy recluido en ...",https://www.infobae.com/america/colombia/2022/05/09/carlos-mattos-su-relacion-con-ivan-duque-y-la-condena-que-nunca-espero/
16,"Gustavo Petro anunció que confrontará judicialmente al general que lo acusó de recibir financiación de ...
mar, 19 oct 2021
El senador de la Colombia Humana, Gustavo Petro , se pronunció respecto a las declaraciones de ‘El Pollo’ Carvajal , ...",https://www.infobae.com/america/colombia/2021/10/19/gustavo-petro-anuncio-que-confrontara-judicialmente-al-general-que-lo-acuso-de-recibir-financiacion-de-venezuela/
17,"Este domingo 13 de marzo 2.810 candidatos aspirarán a tener una Curul en el nuevo ...
vie, 11 mar 2022
Este domingo 13 de marzo se llevarán a cabo en Colombia las elecciones legislativas en las que 2.810 candidatos al ...",https://www.infobae.com/america/colombia/2022/03/12/este-domingo-13-de-marzo-2810-candidatos-aspiraran-a-tener-una-curul-en-el-nuevo-congreso/
18,"Bancada del Pacto Histórico hizo fuerte llamado al Clan del Golfo por asesinatos de policías ...
jue, 28 jul 2022
Que las bandas criminales detengan el plan pistola y dejen de asesinar policías en diferentes regiones del país, ese fue ...",https://www.infobae.com/america/colombia/2022/07/28/bancada-del-pacto-historico-hizo-fuerte-llamado-al-clan-del-golfo-por-asesinatos-de-policias-en-el-pais/
19,"“Señala a nuestra Fuerza Pública sin contrastar información”: embajador Ordóñez responde a la CIDH
jue, 27 may 2021
El pasado 26 de mayo, se conoció un comunicado que hacía referencia a la reunión que sostuvo en Washington la ...",https://www.infobae.com/america/colombia/2021/05/27/senala-a-nuestra-fuerza-publica-sin-contrastar-informacion-embajador-ordonez-responde-a-la-cidh/
20,"Leticia recibirá a presidentes de Sudamérica para reforzar la protección de la selva amazónica
jue, 7 oct 2021
Este viernes 8 de octubre Colombia será anfitriona de la III Cumbre Presidencial del Pacto de Leticia, un evento liderado ...",https://www.infobae.com/america/colombia/2021/10/08/leticia-recibira-a-presidentes-de-sudamerica-para-reforzar-la-proteccion-de-la-selva-amazonica/
21,"Con el ‘Pacto de Leticia’ habrán más econegocios y ecoindustrias que puedan utilizar la riqueza ...
mié, 27 ene 2021
Durante su intervención, de manera virtual, en el Foro Económico Mundial (FEM), el presidente de Colombia, Iván Duque, pidió al ...",https://www.infobae.com/america/colombia/2021/01/27/con-el-pacto-de-leticia-habran-mas-econegocios-y-ecoindustrias-que-puedan-utilizar-la-riqueza-de-la-amazonia-segun-duque/
22,"Capturan en el Chocó a uno de los 5 delincuentes más buscados
jue, 8 oct 2020
Durante operativos del Ejército Nacional en el corregimiento de San Rafael de Negua, Quibdó, Chocó, fue capturado Juan Carlos Córdoba ...",https://www.infobae.com/america/colombia/2020/10/08/capturan-en-el-choco-a-uno-de-los-5-delincuentes-mas-buscados/
23,"Colombia: Iván Duque, en su momento más difícil y ante un gran paro nacional
dom, 17 nov 2019 / By Jorge Cantillo
¿Se sumará Colombia esta semana a la oleada de protestas masivas que pusieron en jaque a varios gobiernos de Latinoamérica? ...",https://www.infobae.com/america/colombia/2019/11/17/colombia-ivan-duque-en-su-momento-mas-dificil-y-ante-un-gran-paro-nacional/
